"NTopics","Binary","Alpha","Beta","Cutoff","City","MinUsers","MinVenues","m","sd","nmi","Rep"
40,"true",0.6,0.01,0.01,"new_york",2,5,5.06849315068493,2.95488657012643,0.43485,1
80,"true",0.6,0.01,0.01,"new_york",2,5,6.87741935483871,3.54440382742017,0.19245,1
20,"false",20,0.01,0.01,"new_york",2,5,4.94594594594595,2.96222463273378,0.228288,1
40,"false",20,0.01,0.01,"new_york",2,5,9.82051282051282,4.13330970098408,0.149197,1
80,"false",20,0.01,0.01,"new_york",2,5,15.3333333333333,5.3718283744353,0.109236,1
20,"true",20,0.01,0.01,"new_york",2,5,4,2.75680975041804,0.586182,1
40,"true",20,0.01,0.01,"new_york",2,5,6.05,3.18580713298963,0.330576,1
80,"true",20,0.01,0.01,"new_york",2,5,10.75625,3.72100425174568,0.243977,1
20,"false",50,0.01,0.01,"new_york",2,5,5.36111111111111,2.82996999254942,0.288675,1
40,"false",50,0.01,0.01,"new_york",2,5,10.3376623376623,4.43849900425805,0.197386,1
80,"false",50,0.01,0.01,"new_york",2,5,15.6962025316456,5.21109651500104,0.114973,1
20,"true",50,0.01,0.01,"new_york",2,5,4.45945945945946,3.09654462079728,0.395462,1
40,"true",50,0.01,0.01,"new_york",2,5,7.2375,3.63959849642648,0.26807,1
80,"true",50,0.01,0.01,"new_york",2,5,12.86875,3.82497893281492,0.169241,1
20,"false",100,0.01,0.01,"new_york",2,5,5.13513513513514,3.11057481435115,0.270479,1
40,"false",100,0.01,0.01,"new_york",2,5,9.9746835443038,4.51202008185743,0.151272,1
80,"false",100,0.01,0.01,"new_york",2,5,15.4213836477987,5.2535505146625,0.123774,1
20,"true",100,0.01,0.01,"new_york",2,5,5.975,3.39296028376099,0.233864,1
40,"true",100,0.01,0.01,"new_york",2,5,10.1875,4.06309026870504,0.259256,1
80,"true",100,0.01,0.01,"new_york",2,5,15.73125,4.30404501127945,0.129348,1
20,"false",0.6,1,0.01,"new_york",2,5,5.22222222222222,2.50839859114605,0.136532,1
40,"false",0.6,1,0.01,"new_york",2,5,9.2051282051282,3.78431134039105,0.0505654,1
80,"false",0.6,1,0.01,"new_york",2,5,14.36875,5.01522446308182,0.0632346,1
20,"true",0.6,1,0.01,"new_york",2,5,3.28,2.54165300542777,0.669663,1
40,"true",0.6,1,0.01,"new_york",2,5,3,2.61696099483444,0.547167,1
80,"true",0.6,1,0.01,"new_york",2,5,3.02631578947368,2.47677691720142,0.377206,1
20,"false",20,1,0.01,"new_york",2,5,4.86111111111111,2.76873130077171,0.110385,1
40,"false",20,1,0.01,"new_york",2,5,10.0897435897436,4.12526550876613,0.138199,1
80,"false",20,1,0.01,"new_york",2,5,15.2452830188679,5.15913468008362,0.11768,1
20,"true",20,1,0.01,"new_york",2,5,3.61111111111111,2.30871365269899,0.615164,1
40,"true",20,1,0.01,"new_york",2,5,5.3974358974359,2.79767873906321,0.374266,1
80,"true",20,1,0.01,"new_york",2,5,6.58490566037736,3.60783585819135,0.231363,1
20,"false",50,1,0.01,"new_york",2,5,5.42857142857143,2.94344450367567,0.166821,1
40,"false",50,1,0.01,"new_york",2,5,10.4615384615385,4.60573416653493,0.109484,1
80,"false",50,1,0.01,"new_york",2,5,15.325,5.288589829996,0.0960705,1
20,"true",50,1,0.01,"new_york",2,5,4.58974358974359,2.73108758669652,0.396079,1
40,"true",50,1,0.01,"new_york",2,5,7.775,3.62122784967206,0.347858,1
80,"true",50,1,0.01,"new_york",2,5,12.725,3.65656126047032,0.179353,1
20,"false",100,1,0.01,"new_york",2,5,5.61111111111111,3.01688370700418,0.188594,1
40,"false",100,1,0.01,"new_york",2,5,10.2911392405063,4.44092823149469,0.145773,1
80,"false",100,1,0.01,"new_york",2,5,15.11875,5.22135416421603,0.109651,1
20,"true",100,1,0.01,"new_york",2,5,5.725,3.13775601672801,0.385693,1
40,"true",100,1,0.01,"new_york",2,5,10.475,3.86799591585401,0.151098,1
80,"true",100,1,0.01,"new_york",2,5,16.38125,3.88817247818635,0.121408,1
20,"false",0.6,0.01,0.005,"new_york",2,10,26.875,11.7455665394792,0.122485,1
40,"false",0.6,0.01,0.005,"new_york",2,10,39.3625,11.0100572550507,0.130197,1
80,"false",0.6,0.01,0.005,"new_york",2,10,42.65625,9.42434080907172,0.0585028,1
20,"true",0.6,0.01,0.005,"new_york",2,10,19.15,7.01116325985997,0.414367,1
40,"true",0.6,0.01,0.005,"new_york",2,10,29.4875,6.60646739130718,0.284824,1
80,"true",0.6,0.01,0.005,"new_york",2,10,39.90625,8.93920548226116,0.184914,1
20,"false",20,0.01,0.005,"new_york",2,10,26.925,11.9901401801005,0.163987,1
40,"false",20,0.01,0.005,"new_york",2,10,39.65,11.3974236484736,0.0719026,1
80,"false",20,0.01,0.005,"new_york",2,10,43.50625,9.52454417932425,0.0597922,1
20,"true",20,0.01,0.005,"new_york",2,10,21.475,7.11800713971443,0.407406,1
40,"true",20,0.01,0.005,"new_york",2,10,35.4375,6.50772423229076,0.265907,1
80,"true",20,0.01,0.005,"new_york",2,10,49.6625,7.35521677698747,0.170362,1
20,"false",50,0.01,0.005,"new_york",2,10,27.3,10.8254211737809,0.123272,1
40,"false",50,0.01,0.005,"new_york",2,10,40.45,12.4269001807074,0.0980974,1
80,"false",50,0.01,0.005,"new_york",2,10,43.78125,9.0231511285863,0.100324,1
20,"true",50,0.01,0.005,"new_york",2,10,25.45,7.59199983788603,0.457499,1
40,"true",50,0.01,0.005,"new_york",2,10,38.7375,5.98890059858626,0.266463,1
80,"true",50,0.01,0.005,"new_york",2,10,51.58125,8.55281179628323,0.150839,1
20,"false",100,0.01,0.005,"new_york",2,10,29.325,12.4496678979494,0.110832,1
40,"false",100,0.01,0.005,"new_york",2,10,40.5,12.441254363069,0.0721328,1
80,"false",100,0.01,0.005,"new_york",2,10,43.7375,9.18741790704778,0.092853,1
20,"true",100,0.01,0.005,"new_york",2,10,29.575,8.07619960129763,0.281496,1
40,"true",100,0.01,0.005,"new_york",2,10,43.4125,8.0074233754638,0.204692,1
80,"true",100,0.01,0.005,"new_york",2,10,53.55,9.57972176957086,0.110985,1
20,"false",0.6,1,0.005,"new_york",2,10,28.25,10.935123368162,0.171227,1
40,"false",0.6,1,0.005,"new_york",2,10,40.4125,11.3869720694921,0.0514753,1
80,"false",0.6,1,0.005,"new_york",2,10,41.84375,9.06617660185928,0.0469113,1
20,"true",0.6,1,0.005,"new_york",2,10,16.5,7.64266029666741,0.410317,1
40,"true",0.6,1,0.005,"new_york",2,10,15.6708860759494,9.06913831174848,0.18902,1
80,"true",0.6,1,0.005,"new_york",2,10,12.4054054054054,10.0782198810363,0.156201,1
20,"false",20,1,0.005,"new_york",2,10,29.525,11.9721632259042,0.134366,1
40,"false",20,1,0.005,"new_york",2,10,40.725,12.3738955523004,0.0644943,1
80,"false",20,1,0.005,"new_york",2,10,42.59375,8.72522323154265,0.0577945,1
20,"true",20,1,0.005,"new_york",2,10,20.45,6.96861094204135,0.369279,1
40,"true",20,1,0.005,"new_york",2,10,34.675,5.70093263522666,0.258111,1
80,"true",20,1,0.005,"new_york",2,10,46.04375,7.64161634174769,0.137638,1
20,"false",50,1,0.005,"new_york",2,10,28.575,11.2884953915537,0.126716,1
40,"false",50,1,0.005,"new_york",2,10,40.725,12.4229014731929,0.101607,1
80,"false",50,1,0.005,"new_york",2,10,42.59375,8.73674872603572,0.0759463,1
20,"true",50,1,0.005,"new_york",2,10,27,6.59836809661764,0.391856,1
40,"true",50,1,0.005,"new_york",2,10,41.4875,6.40607652590072,0.263186,1
80,"true",50,1,0.005,"new_york",2,10,52.85,8.06904170036716,0.115677,1
20,"false",100,1,0.005,"new_york",2,10,28.425,12.2367406000463,0.0950097,1
40,"false",100,1,0.005,"new_york",2,10,40.35,12.6672107367053,0.117764,1
80,"false",100,1,0.005,"new_york",2,10,43.0375,9.17261956507162,0.101749,1
20,"true",100,1,0.005,"new_york",2,10,27.9,7.8766125740083,0.178998,1
40,"true",100,1,0.005,"new_york",2,10,42.5625,7.39627643231992,0.134873,1
80,"true",100,1,0.005,"new_york",2,10,50.5375,9.63933731640153,0.0923349,1
20,"false",0.6,0.01,0.01,"new_york",2,10,7.54054054054054,4.53746499585271,0.213042,1
40,"false",0.6,0.01,0.01,"new_york",2,10,13.875,6.57262254268474,0.150582,1
80,"false",0.6,0.01,0.01,"new_york",2,10,19.4968553459119,6.71939777839199,0.0912783,1
20,"true",0.6,0.01,0.01,"new_york",2,10,4.72972972972973,3.12382109895209,0.527215,1
40,"true",0.6,0.01,0.01,"new_york",2,10,7.05063291139241,3.55144872634057,0.366328,1
80,"true",0.6,0.01,0.01,"new_york",2,10,10.975,3.83454998466647,0.219844,1
20,"false",20,0.01,0.01,"new_york",2,10,7.54054054054054,3.95526789789821,0.170219,1
40,"false",20,0.01,0.01,"new_york",2,10,13.775,6.23581935578434,0.108431,1
80,"false",20,0.01,0.01,"new_york",2,10,19.475,6.5674535811744,0.087333,1
20,"true",20,0.01,0.01,"new_york",2,10,5.31578947368421,3.03230590304078,0.404806,1
40,"true",20,0.01,0.01,"new_york",2,10,9.4125,4.10215673437982,0.392428,1
80,"true",20,0.01,0.01,"new_york",2,10,15.98125,3.96759178736863,0.208464,1
20,"false",50,0.01,0.01,"new_york",2,10,8.18918918918919,4.47112860371864,0.214871,1
40,"false",50,0.01,0.01,"new_york",2,10,14.2911392405063,6.34105851135803,0.111138,1
80,"false",50,0.01,0.01,"new_york",2,10,19.4125,6.93399927256628,0.0898225,1
20,"true",50,0.01,0.01,"new_york",2,10,6.225,3.3625959141787,0.552114,1
40,"true",50,0.01,0.01,"new_york",2,10,10.7125,3.74907161503799,0.361458,1
80,"true",50,0.01,0.01,"new_york",2,10,18.625,4.08209774657328,0.195589,1
20,"false",100,0.01,0.01,"new_york",2,10,8.2972972972973,4.36440695261659,0.212667,1
40,"false",100,0.01,0.01,"new_york",2,10,14.5324675324675,6.4125379153171,0.0988531,1
80,"false",100,0.01,0.01,"new_york",2,10,19.75,6.87077485949084,0.0924867,1
20,"true",100,0.01,0.01,"new_york",2,10,8.925,3.23750061875056,0.338493,1
40,"true",100,0.01,0.01,"new_york",2,10,14.25,4.1169609044303,0.275723,1
80,"true",100,0.01,0.01,"new_york",2,10,21.95625,4.45853978831917,0.133101,1
20,"false",0.6,1,0.01,"new_york",2,10,8.16216216216216,3.97571456549716,0.11572,1
40,"false",0.6,1,0.01,"new_york",2,10,14.5769230769231,6.10411662406935,0.101373,1
80,"false",0.6,1,0.01,"new_york",2,10,19.8025477707006,5.51389793071395,0.0561365,1
20,"true",0.6,1,0.01,"new_york",2,10,4.14285714285714,2.71317978354092,0.547852,1
40,"true",0.6,1,0.01,"new_york",2,10,4.01785714285714,3.27797649017345,0.316217,1
80,"true",0.6,1,0.01,"new_york",2,10,4.33333333333333,3.20342079064002,0.289389,1
20,"false",20,1,0.01,"new_york",2,10,8.7027027027027,4.27437366993929,0.165873,1
40,"false",20,1,0.01,"new_york",2,10,15.0897435897436,6.09915024406136,0.0484196,1
80,"false",20,1,0.01,"new_york",2,10,19.7169811320755,6.24411832155396,0.0776594,1
20,"true",20,1,0.01,"new_york",2,10,5.83333333333333,2.84353904241076,0.573877,1
40,"true",20,1,0.01,"new_york",2,10,9.0625,3.56261797495087,0.298849,1
80,"true",20,1,0.01,"new_york",2,10,14.6603773584906,3.8349330175512,0.176822,1
20,"false",50,1,0.01,"new_york",2,10,7.72222222222222,4.39227315772408,0.130273,1
40,"false",50,1,0.01,"new_york",2,10,14.5189873417722,6.31615908824682,0.140898,1
80,"false",50,1,0.01,"new_york",2,10,19.6625,6.72261507592986,0.0841293,1
20,"true",50,1,0.01,"new_york",2,10,7.125,3.44322076416387,0.444091,1
40,"true",50,1,0.01,"new_york",2,10,11.2375,3.77279988699928,0.333467,1
80,"true",50,1,0.01,"new_york",2,10,19.1875,4.21913505696734,0.179354,1
20,"false",100,1,0.01,"new_york",2,10,7.57894736842105,4.19543882926781,0.145335,1
40,"false",100,1,0.01,"new_york",2,10,14.8846153846154,6.03879399938704,0.170615,1
80,"false",100,1,0.01,"new_york",2,10,19.83125,6.66939114926444,0.1144,1
20,"true",100,1,0.01,"new_york",2,10,8.625,3.68425269881396,0.251113,1
40,"true",100,1,0.01,"new_york",2,10,14.2125,3.77095411490366,0.175625,1
80,"true",100,1,0.01,"new_york",2,10,21.51875,4.37542001577739,0.119204,1
20,"false",0.6,0.01,0.005,"new_york",5,2,15.425,6.17226011051016,0.258686,1
40,"false",0.6,0.01,0.005,"new_york",5,2,25.375,7.56637297521078,0.0749438,1
80,"false",0.6,0.01,0.005,"new_york",5,2,32.65625,6.69182066679002,0.0741364,1
20,"true",0.6,0.01,0.005,"new_york",5,2,8.23076923076923,4.30092730797697,0.415567,1
40,"true",0.6,0.01,0.005,"new_york",5,2,12.6410256410256,6.32655577904028,0.322473,1
80,"true",0.6,0.01,0.005,"new_york",5,2,15.0377358490566,9.03991625959088,0.246967,1
20,"false",20,0.01,0.005,"new_york",5,2,15.75,6.5973965339095,0.170683,1
40,"false",20,0.01,0.005,"new_york",5,2,25.9625,7.82634911732981,0.0913283,1
80,"false",20,0.01,0.005,"new_york",5,2,33.45625,6.58743503303565,0.0924601,1
20,"true",20,0.01,0.005,"new_york",5,2,9.1,4.36066332286553,0.410755,1
40,"true",20,0.01,0.005,"new_york",5,2,16.6875,7.79417788228877,0.3783,1
80,"true",20,0.01,0.005,"new_york",5,2,23.59375,9.58004797390858,0.228334,1
20,"false",50,0.01,0.005,"new_york",5,2,15.475,6.36894508835345,0.153675,1
40,"false",50,0.01,0.005,"new_york",5,2,25.8125,7.10338437790418,0.102639,1
80,"false",50,0.01,0.005,"new_york",5,2,33.28125,6.76670713653976,0.0854398,1
20,"true",50,0.01,0.005,"new_york",5,2,11.1794871794872,5.29086499182066,0.439012,1
40,"true",50,0.01,0.005,"new_york",5,2,17.25,7.08805377583395,0.348699,1
80,"true",50,0.01,0.005,"new_york",5,2,25.4125,9.62399222854499,0.211552,1
20,"false",100,0.01,0.005,"new_york",5,2,15.55,7.04545680126289,0.116741,1
40,"false",100,0.01,0.005,"new_york",5,2,25.9625,8.23614102522181,0.15349,1
80,"false",100,0.01,0.005,"new_york",5,2,32.9875,6.53869709869081,0.0724332,1
20,"true",100,0.01,0.005,"new_york",5,2,13.1794871794872,7.0145405179144,0.334,1
